a_text,a_source,label
coronavirus a 'wake-up call' for canada's prescription drug supply,news_article,FACT
yukon gov't names 2 possible sources of coronavirus exposure,news_article,FACT
u.s. senate passes $2t coronavirus relief package,news_article,FACT
coronavirus: the latest in drug treatment and vaccine development,news_article,FACT
the latest on the coronavirus outbreak for march 26,news_article,FACT
'worse' pandemic on horizon unless world deals with wildlife markets,news_article,FACT
"what you need to know about covid-19 in ottawa on friday, march 27",news_article,FACT
"michigan hospitals jammed as coronavirus cases, deaths rise",news_article,FACT
u.s. coronavirus cases now highest in the world,news_article,FACT
"'avoid the emergency' pleads jewish general, as it hurries to find safer ways to evaluate mildly ill patients",news_article,FACT
covid-19 in sask: province announces first 3 coronavirus recoveries,news_article,FACT
manitoba chiefs organization wants cuban doctor aid on covid-19,news_article,FACT
"how invoking the emergencies act could help canada better track, contain covid-19",news_article,FACT
"in ontario, construction is an essential service, but some workers fear covid-19 puts them at risk",news_article,FACT
alberta's film industry faces 'devastating' historic shut down over coronavirus,news_article,FACT
'like a war zone': what a nyc doctor is seeing 'in the trenches' of the covid-19 crisis,news_article,FACT
n.l. fisheries researcher helping mun students pay bills during covid-19 crisis,news_article,FACT
"1st death, 3 new cases: what manitobans need to know about covid-19",news_article,FACT
medical experts warn against claims by winnipeg acupuncturist advertising 'coronavirus prevention tea',news_article,FACT
"it's 'too late' for n.b. to use testing to reduce covid-19 spread, expert says",news_article,FACT
the latest on the coronavirus outbreak for march 25,news_article,FACT
prince charles tests positive for coronavirus,news_article,FACT
the riskiest surfaces for coronavirus and how to clean them,news_article,FACT
"doctors face sanctions for prescribing unproven covid-19 drugs to friends and family, regulators warn",news_article,FACT
covid-19 forces social agencies to eliminate open-door policies on selkirk avenue,news_article,FACT
how bad will canada's covid-19 recession be?,news_article,FACT
'you have to assume you have it:' jackson browne tests positive for coronavirus after benefit concert,news_article,FACT
from shopping to walks: your coronavirus questions answered,news_article,FACT
'everyone is going home': coronavirus pandemic leaves workers scrambling in b.c. ski hotspot,news_article,FACT
"coronavirus impact spreads across u.s., with much of the population under stay-at-home orders",news_article,FACT
"sunwing laying off 1,500 flight staff, including pilot with covid-19",news_article,FACT
service canada offices to shutter for in-person services over covid-19 concerns,news_article,FACT
tree planting on hold in b.c.'s interior over pandemic safety concerns,news_article,FACT
china to lift coronavirus lockdown in most of hubei province,news_article,FACT
coronavirus: what's happening in canada and around the world on march 24,news_article,FACT
"no, the new coronavirus wasn't created in a lab, scientists say",news_article,FACT
"sask. gov't temporarily suspends residential evictions, one day after declining to do so",news_article,FACT
"u.s. senate, white house reach deal on $2t coronavirus rescue package",news_article,FACT
"the latest on the coronavirus outbreak for tuesday, march 24",news_article,FACT
"celebrity chef floyd cardoz, winner of top chef masters, dies of coronavirus complications",news_article,FACT
"b.c. launches app for coronavirus info, news",news_article,FACT
prince edward county distillery switching gears to fight coronavirus,news_article,FACT
g7 nations pledge to work together 'for as long as necessary' in coronavirus battle,news_article,FACT
harvey weinstein tests positive for coronavirus in prison,news_article,FACT
"u.s. nears goal line in coronavirus stimulus negotiations, senate leaders say",news_article,FACT
narendra modi orders 'total lockdown' of india to combat coronavirus spread,news_article,FACT
"arizona man dead, wife in hospital after ingesting chloroquine over coronavirus fears",news_article,FACT
covid-19 prompts acceleration of $2-million main street project expansion,news_article,FACT
coronavirus: what's happening in canada and around the world on march 23,news_article,FACT
"covid-19 can't stop the music: balcony boogies for seniors, and a daughter serenades her ailing father",news_article,FACT
"at the calgary international airport, mandatory self-isolation rules take effect",news_article,FACT
stressed about coronavirus? these ubc researchers want to hear from you,news_article,FACT
bodies of coronavirus victims found in spanish nursing homes,news_article,FACT
negotiators close on nearly $2 trillion virus aid package,news_article,FACT
"customers of kamloops pharmacy asked to isolate, monitor for covid-19 symptoms",news_article,FACT
coronavirus: here's what's happening on march 22,news_article,FACT
battered stock markets post best day in years as governments fight coronavirus with cash,news_article,FACT
"fca to produce masks to protect first responders, healthcare workers from coronavirus",news_article,FACT
croatia quake injures 17 amid partial coronavirus lockdown,news_article,FACT
edmonton playgrounds to close immediately in response to coronavirus pandemic,news_article,FACT
michigan governor issues stay-at-home order to curb coronavirus,news_article,FACT
"italian exchange student forced to leave st. john's and go home, where coronavirus is raging",news_article,FACT
more businesses ordered shut as n.l. coronavirus cases soar to 24,news_article,FACT
aid workers brace for impact of coronavirus in refugee camps,news_article,FACT
"no appetite, no smell: saskatchewan athlete recounts falling ill with covid-19",news_article,FACT
