a_text,a_source,label
Dated video of  trupti desai being detained revived with lockdown twist,social_media,RUMOR
Morphed india today graphic claims lockdown extended to may 4th,social_media,RUMOR
video shows muslims licking utensils to spread coronavirus,social_media,RUMOR
"US,UK asked PM Modi to lead 18 nation coronavirus task force",social_media,RUMOR
did italians throw their money on the streets due to COVID-19 Deaths,social_media,RUMOR
video shows muslims licking utensils to spread coronavirus,social_media,RUMOR
video of birds flocking in ahmedabad not linked to COVID-19 lockdow,social_media,RUMOR
hoax message claims whatsapp group admins detained for coronavirus,social_media,RUMOR
images of baby with birth defect falsely linked to coronavirus,social_media,RUMOR
marathi newspaper lokmat falls for fake COVID-19 bioweapon story,social_media,RUMOR
home ministry has not made sharing coronovirus messages,social_media,RUMOR
video of patient gasping for breath falsely linked to india,social_media,RUMOR
The Bombay HC has not extended maharashtra lockdown till april 30,social_media,RUMOR
fake news site invents story about COVID-19 patient zero having sex,social_media,RUMOR
PM Modi has announced an internet shutdown during lockdown,social_media,RUMOR
a netflix show predict the COVID-19 outbreak,social_media,RUMOR
graphic claims amit shah tests positive for coronavirus,social_media,RUMOR
photos and video show a vaccine against corinavirus,social_media,RUMOR
scene from mini-series pandemic peddled as coronavirus mass grave,social_media,RUMOR
2015 photo shared as amit shah visiting COVID-19 patients,social_media,RUMOR
mock drill video passed off as police detaining suspected COVID-19,social_media,RUMOR
jio is offering a free recharge of Rs.498 in lockdown period,social_media,RUMOR
dated photos of a suicide in spain falsely linked to coronavirus,social_media,RUMOR
croatia earthquake pics peddled as italy overwhelmed with COVID-19,social_media,RUMOR
social media caiming army built 1000 bed quarantine facility,social_media,RUMOR
Indonesian doctor's last photo before he died in COVID-19,social_media,RUMOR
tiktok video on coronavirus goes viral as doctor's advice,social_media,RUMOR
video of an arrest in brazil falsely linked to lockdown,social_media,RUMOR
message claiming coronavirus can last up to 8 hours in air ,social_media,RUMOR
message claiming coronavirus lives on a surface for 12 hours,social_media,RUMOR
dated photo showing rows of coffins shared as coronavirus hit italy,social_media,RUMOR
coronavirus positive kanika kapoor take a selfie with the PM,social_media,RUMOR
sophie trudeau talking about coronavirus,social_media,RUMOR
government is spraying medicine to kill coronavirus,social_media,RUMOR
notification on movement restrictions from india,social_media,RUMOR
passengers infected with coronavirus at senegal airport,social_media,RUMOR
old video shared as goats infected with COVID-19 in ajmer,social_media,RUMOR
video of mock drill on COVID-19 preparedness in punjab goes viral as real,social_media,RUMOR
viral forward promising free masks is fake,social_media,RUMOR
trump announced the launch of a coronavirus vaccine,social_media,RUMOR
coronavirus rumours hit mumbai hotels westin and fatty bao,social_media,RUMOR
video shows police crackdown on suspected COVID-19 patients,social_media,RUMOR
times of india misreports agra women fleeing after coronavirus tests,social_media,RUMOR
chinese intelligence officer reveals coronavirus is a bioweapon,social_media,RUMOR
books predict the coronavirus outbreak,social_media,RUMOR
vaccines of coronavirus have been developed,social_media,RUMOR
morphed screenshots of aaj tak make false claims about coronavirus,social_media,RUMOR
cropped aaj tak video used to spread misinformation on coronavirus,social_media,RUMOR
shaheen bagh protester tested positive,social_media,RUMOR
fake advisory warns against buying holi colours from coronavirus hit,social_media,RUMOR
mock drill by chinese police viral as real,social_media,RUMOR
simpsons and comic series asterix predict the 2019 coronavirus,social_media,RUMOR
chicken infected with coronavirus in bangalore,social_media,RUMOR
marijuana kills coronavirus,social_media,RUMOR
china seeks court approval to kill over 20000 coronavirus affected,social_media,RUMOR
old photos of  jinping's mosque visit falsely linked to coronavirus,social_media,RUMOR
the hindu article erroneously links filoviris study to coronavirus,social_media,RUMOR
not that coronavirus why detol's label is leading to confusion,social_media,RUMOR
coronavirus found in broiler chickens,social_media,RUMOR
bat infestation video from florida falsely shared as coronavirus,social_media,RUMOR
boiled garlic water for treating coronavirus,social_media,RUMOR
corpses strewn on china's streets after outbreak of coronavirus,social_media,RUMOR
webseries clip viral as cop beaten in temple for enforcing lockdown,social_media,RUMOR
different types of tea can act as a cure for COVID-19,social_media,RUMOR
video from mumbai peddled as police retaliation for attack on indore,social_media,RUMOR
2014 photos rotis revived ith lockdown,social_media,RUMOR
video of man spitting on cop is related to COVID-19,social_media,RUMOR
italians throw their money on the streets due to COVID-19,social_media,RUMOR
fake graphic claims amit shah tests positive for coronavius,social_media,RUMOR
rewa police action on temple priest for violating lockdown viral,social_media,RUMOR
"no,this is not sophie trudeau  talking about coronavirus",social_media,RUMOR
fake quote claims sachin teldulkar asked for ban on meat shop for coronavirus,social_media,RUMOR
cristiano ronaldo's hotels will be turned into hospitals for coronavirus,social_media,RUMOR
viral coronavirus Advisory is from UNICEF,social_media,RUMOR
the government is cracking down on misinformation about the coronavirus pandemic,social_media,RUMOR
youtube has banned all conspiracy theory videos falsely linking coronavirus symptoms to 5G networks,social_media,RUMOR
tea can help to cure coronavirus affected people,social_media,RUMOR
